"","1","9","12","16","17","25","26","37","40","43","44","53","54","63","89","111","117","143","201","223","267","412","432","497","555"
"1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"9",0,NA,1,0,0,0,0,0,2,0,0,1,0,1,1,2,0,0,0,4,0,0,0,0,0
"12",0,0,NA,9,1,0,0,1,0,1,0,7,0,0,7,0,0,0,10,6,0,8,0,0,7
"16",0,3,0,NA,0,0,0,0,7,3,4,2,2,2,0,3,2,0,0,9,0,0,0,0,0
"17",0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,9,11,6,0,NA,1,0,0,6,1,0,0,1,5,6,0,0,7,7,0,9,0,0,0
"26",0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"37",0,0,0,0,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",0,0,5,0,0,0,0,0,NA,16,0,1,0,1,0,0,0,0,0,11,0,1,1,0,0
"43",0,2,0,0,0,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0,0,2,0,0,0,0,0,1,0,NA,0,0,0,1,0,2,0,2,0,0,3,0,4,0
"53",0,0,0,0,0,3,0,0,0,1,0,NA,0,0,0,1,0,1,2,0,0,0,0,0,1
"54",0,0,0,0,0,1,0,0,0,1,0,0,NA,0,0,0,0,0,1,0,0,0,0,1,0
"63",0,0,0,0,0,0,0,0,0,0,0,2,0,NA,0,1,1,0,0,2,1,1,0,0,0
"89",0,0,0,1,0,0,1,0,4,0,0,3,0,0,NA,0,0,0,0,3,1,0,0,0,0
"111",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,NA,4,0,0,1,3,0,1,0,0
"117",0,0,2,0,0,2,0,0,2,0,0,1,0,0,2,0,NA,1,2,0,1,1,0,0,0
"143",0,1,0,2,0,8,0,0,0,1,0,0,0,0,2,0,0,NA,0,5,0,0,1,0,0
"201",0,1,0,2,0,0,0,0,4,1,0,0,0,4,1,1,0,0,NA,5,0,0,0,0,1
"223",0,0,0,0,0,0,3,1,0,1,5,1,0,0,0,0,2,0,0,NA,0,6,0,0,0
"267",0,1,0,0,0,7,0,0,8,1,0,1,0,0,0,0,0,0,1,2,NA,1,1,0,0
"412",0,4,0,4,0,0,0,0,0,2,0,4,0,0,0,0,0,3,1,0,0,NA,1,3,2
"432",0,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,NA,0,1
"497",1,1,9,7,1,4,2,0,0,2,0,4,0,3,9,0,2,2,28,18,0,0,5,NA,0
"555",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,NA
